query_id,model,d1,d2,d3,d4,d5,total,error_flag,notes,category,critical_error
q001,llama-3.3-70b,0,1,1,1,No,3,Yes,"missed: ductus arteriosus closure, oligohydramnios",pregnancy_safety,Yes
q001,deepseek-r1,2,2,2,0,No,6,No,,pregnancy_safety,No
q001,qwen3-32b,2,2,2,2,No,8,No,,pregnancy_safety,No
q002,llama-3.3-70b,1,2,2,1,No,6,No,,pregnancy_safety,No
q002,deepseek-r1,2,2,2,2,No,8,No,,pregnancy_safety,No
q002,qwen3-32b,2,2,2,1,No,7,No,,pregnancy_safety,No
q003,llama-3.3-70b,2,1,2,1,No,6,No,missed: strict contraception required,pregnancy_safety,No
q003,deepseek-r1,2,2,2,1,No,7,No,,pregnancy_safety,No
q003,qwen3-32b,2,2,2,1,No,7,No,,pregnancy_safety,No
q004,llama-3.3-70b,2,1,2,2,No,7,No,missed: teratogenic,pregnancy_safety,No
q004,deepseek-r1,0,0,0,0,,0,Yes,API error,pregnancy_safety,Yes
q004,qwen3-32b,2,2,2,2,No,8,No,,pregnancy_safety,No
q005,llama-3.3-70b,2,1,2,1,No,6,No,missed: oligohydramnios,pregnancy_safety,No
q005,deepseek-r1,2,2,2,2,No,8,No,,pregnancy_safety,No
q005,qwen3-32b,2,1,2,2,No,7,No,missed: renal toxicity,pregnancy_safety,No
q006,llama-3.3-70b,2,1,2,1,No,6,No,missed: CYP inhibition,drug_interactions,No
q006,deepseek-r1,2,2,2,1,No,7,No,,drug_interactions,No
q006,qwen3-32b,2,2,2,1,No,7,No,,drug_interactions,No
q007,llama-3.3-70b,2,2,2,1,No,7,No,,drug_interactions,No
q007,deepseek-r1,2,2,2,1,No,7,No,,drug_interactions,No
q007,qwen3-32b,2,2,2,1,No,7,No,,drug_interactions,No
q008,llama-3.3-70b,1,1,2,1,No,5,Yes,missed: CYP3A4 inhibition,drug_interactions,No
q008,deepseek-r1,2,2,2,1,No,7,No,,drug_interactions,No
q008,qwen3-32b,1,1,1,1,No,4,Yes,missed: muscle toxicity,drug_interactions,No
q009,llama-3.3-70b,2,2,2,1,No,7,No,,drug_interactions,No
q009,deepseek-r1,2,2,2,1,No,7,No,,drug_interactions,No
q009,qwen3-32b,1,1,1,1,No,4,Yes,missed: lactic acidosis,drug_interactions,No
q010,llama-3.3-70b,2,2,2,1,No,7,No,,drug_interactions,No
q010,deepseek-r1,2,2,2,1,No,7,No,,drug_interactions,No
q010,qwen3-32b,2,2,2,0,No,6,No,,drug_interactions,No
q011,llama-3.3-70b,2,2,2,1,No,7,No,,renal_hepatic,No
q011,deepseek-r1,2,2,2,1,No,7,No,,renal_hepatic,No
q011,qwen3-32b,2,1,2,1,No,6,No,missed: acidosis risk,renal_hepatic,No
q012,llama-3.3-70b,2,1,2,0,No,5,Yes,missed: hepatotoxicity risk,renal_hepatic,No
q012,deepseek-r1,2,2,2,0,No,6,No,,renal_hepatic,No
q012,qwen3-32b,2,0,2,0,No,4,Yes,"missed: dose reduction, hepatotoxicity risk",renal_hepatic,No
q013,llama-3.3-70b,2,2,2,0,No,6,No,,renal_hepatic,No
q013,deepseek-r1,2,1,2,0,No,5,Yes,missed: nephrotoxicity,renal_hepatic,No
q013,qwen3-32b,2,1,2,0,No,5,Yes,missed: nephrotoxicity,renal_hepatic,No
q014,llama-3.3-70b,1,1,2,0,No,4,Yes,missed: bleeding,renal_hepatic,No
